ANEXO I - NOMENCLADOR GENERAL APROSS
Código	Descripción	Valor
	OPERACIONES EN EL SISTEMA NERVIOSO	
010101	MALFORMACIONES CONGÉNITAS -ENCEFALOMENINGOCELE-	 $  1.360.906 
010102	TRATAMIENTO QUIRÚRGICO CRANEOSTENOSIS	 $  1.360.906 
010103	CRANEOPLASTIAS CON INJERTO ÓSEO O PROTÉSICO	 $  874.913 
010104	REDUCCIÓN ABIERTA DE FRACTURA DE CRÁNEO	 $  874.913 
010105	ESCISIÓN DE LESIÓN TUMORAL INFECCIOSA-TUMOR ÓSEO DE CALOTA	 $  486.116 
010106	DESCOMPRESIÓN ORBITARIA UNILATERAL	 $  1.090.196 
010108	CIRUGIA TRATAMIENTO DE TUMORES ÓSEOS DE ÓRBITA Y SENOS, CON o SIN CRANEOPLASTÍA	 $  1.132.548 
010109	CIRUGÍA RESECTIVA PARA TRATAMIENTO DE EPILEPSIA	 $  2.109.405 
010201	VENTRICULOCISTERNOSTOMIAS ENDOSCOPICA	 $  1.749.749 
010202	DERIVACION VENTRICULOAURICULA DERECHA	 $  1.166.522 
010203	REVISION DE VALVULAS DERIVATIVAS O RESTITUCION PARCIAL O TOTAL	 $  923.508 
010205	TRACTOTOMIA ESPINOTALAMICA TRIGEMINAL O MESENCEFAL	 $  1.652.602 
010206	TRATAMIENTO QUIRURGICO DE LOS ANEURISMAS Y MALFORMACIONES	 $  2.267.150 
010207	EVACUACION POR PUNCION DE COLECCION INTERCEREBRAL EPIDURAL SUBDURAL Y-O SUBARACNOIDEA	 $  631.102 
010208	CRANEOTOMIA EXPLORADORA-EVACUACION DE HEMATOMAS O COLECCIONES-EXTRACCION DE CUERPO EXTRANO	 $  1.399.794 
010209	REPARACION PLASTICA DE SENOS CRANEALES	 $  2.328.311 
010210	ESCISION DE LESION TUMORAL INTRACRANEANA	 $  1.170.057 
010211	DRENAJE VENTRICULAR CONTINUO -COMO UNICA OPERACION-	 $  578.782 
010212	USO DE ASPIRADOR ULTRASONICO Y/O USO DE  CRANEOTOMO	 $  187.950 
010213	CIRUGIA ESTEREOTAXICA	 $  873.019 
010214	PUNCION DIAGNOSTICA O TERAPEUTICA DE VENTRICULO POR TREPANACION	 $  587.145 
010215	PUNCION TRANSFONTANELAR DE VENTRICULOS O SUBDURAL	 $  578.782 
010216	COLOCACION DE SET PARA MONITOREO DE PRESION INTRACRANEANA -COMO UNICA OPERACION-	 $  591.386 
010217	COLOCACION DE NEUROESTIMULADOR 	 $  598.106 
010219	RECARGA PARA BOMBA DE INFUSION	 $  153.775 
010220	COLOCACION DE BOMBA DE INFUSION DE MEDICAMENTOS INTRATECALES	 $  598.106 
010221	RECALIBRACION DE BOMBA DE INFUSION DE MEDICAMENTOS INTRATECALES	 $  3.602 
010301	REPARACION DE DEFECTOS CONGENITOS DEL COMPLEJO MENINGOMEDULAR- (MENIGO Y MIELOMENINGOCELE)	 $  1.458.151 
010311	CIRUGIA TRATAMIENTO DE TUMORES INTRADURALES EXTRAMEDULARES DEL RAQUIS CON O SIN MONITOREO	 $  673.922 
010303	EXTIRPACION O LIGADURA DE ANEURISMAS O MALFORMACIONES ARTERIOVENOSAS MEDULARES	 $  1.547.299 
010304	CORDOTOMIA ESPINOTALAMICA, ANTERIOR, POSTERIOR, MI	 $  1.547.299 
010305	RIZOTOMIA RADICOTOMIA POSTERIOR	 $  1.166.522 
010309	PUNCION LUMBAR CON O SIN MANOMETRIA	 $  30.490 
010310	VERTEBROPLASTIAS QUIRURGICA POR CUALQUIER VIA	 $  375.860 
010401	NEUROTOMIA O DESCOMPRESION RETROGASERIANA TRIGEMINAL	 $  729.147 
010402	NEUROLISIS DEL TRIGEMINO	 $  283.136 
010405	NEUROTOMIA DEL SUPRAORBITARIO, INFRAORBITARIO, DEN	 $  308.535 
010406	NEUROTOMIA SELECTIVA DEL FACIAL O DEL GLOSOFARINGEO O NEUMOGASTRICO CERVICAL	 $  287.399 
010407	INJERTO Y/O ANASTOMOSIS DE NERVIO FACIAL HIPOGLOSO ESPINAL Y SIMILARES	 $  874.913 
010409	DREZOTOMIA POSTERIOR	 $  542.900 
010410	NEUROTOMIA SELECTIVA EXTRAMEDULAR	 $  252.411 
010501	TRATAMIENTO QUIRURGICO POR PATOLOGIA DEL PLEXO CERVICOBRAQUIAL	 $  874.913 
010502	TRATAMIENTO QUIRURGICO POR PATOLOGIA DEL PLEXO LUMBOSACRO	 $  874.913 
010503	NEUROGRAFIA INJERTO TUBULIZACION ESCISION DE LESION TUMORAL DEL NERVIO PERIFERICO	 $  161.288 
010504	TRANSPOSICION DEL CUBITAL	 $  291.726 
010505	DESCOMPRESION DEL MEDIANO A NIVEL DEL TUNEL CARPIANO	 $  243.186 
010506	ESCISION DE LESION TUMORAL DE NERVIO PERIFERICO	 $  388.883 
010507	NEUROLISIS NERVIO PERIFERICO CUALQUIER METODO	 $  259.724 
010602	SIMPATECTOMIA CERVICAL TORAXICA  O LUMBAR CUALQUIER VIA	 $  729.147 
010702	PAN ARTERIOGRAFIA CEREBRAL POR CATETERISMO	 $  188.960 
010703	ARTERIOGRAFIA CAROTIDEA O VERTEBRAL	 $  175.025 
010707	INFUSION INTRATECAL O EN CANAL MEDULAR DE CITOSTATICOS	 $  106.101 
010708	TRATAMIENTO ENDOVASCULAR DE ANEURISMAS CRANEALES CON EMBOLIZACIONES TERAPEUTICAS O MICROLISIS	 $  1.165.571 
010709	VERTEBROPLASTIA LAMINAR POR INYECCION DE HISTACRILATO	 $  375.860 
010710	MODULO DE STROKE (INCLUYE STENT, MATERIALES Y DESCARTABLES) CON AUTORIZACIÓN PREVIA	 $  1.951.923 
010711	ABLACION DE NERVIO CRANEAL POR RADIOFRECUENCIA	 $  391.323 
	OPERACIONES EN EL APARATO DE LA VISION 	
020101	EXENTERACION DEL CONTENIDO ORBITARIO	 $  112.953 
020102	NEUROTOMIA DEL NERVIO OPTICO	 $  85.498 
020103	ORBITOTOMIA CON ESCISION DE LESION DE ORBITA EXPLORACION EXTRACCION DE CUERPO EXTRANO BIOPSIADRENAJE	 $  157.877 
020105	REPARACION PLASTICA DE LA ORBITA CON O SIN INJERTO DE PIEL	 $  138.137 
020106	ENUCLEACION O EVISCERACION DEL GLOBO OCULAR	 $  131.505 
020107	ASPIRACION LAVADO E IMPLANTE DEL VITREO	 $  57.941 
020108	VITRECTOMIA	 $  267.974 
020109	TRATAMIENTO QUIRURGICO CORRECTIVO DEL ESTRABISMO	 $  177.552 
020201	RECONSTRUCCION TOTAL DEL PARPADO TECNICA DE HUGJES O SIMILAR	 $  78.956 
020202	BLEFAROPLASTIA	 $  39.471 
020203	BLEFARORRAFIA PARCIAL O TOTAL	 $  23.355 
020204	BLEFAROCHALASIS	 $  24.974 
020205	ESCISION DE LESION DE PARPADOS BLEFARECTOMIA BLEFAROTOMIA	 $  23.355 
020206	TRATAMIENTO DEL BLEFAROSPASMO CON TOXINA BOTULINICA NO INCLUYE MEDICAMENTO	 $  44.545 
020301	CONJUNTIVOPLASTIA-PTERIGION-CHALAZION	 $  66.728 
020302	ESCISION DE LESION CONJUNTIVA	 $  29.712 
020303	INTRODUCCION DE SUSTANCIAS TERAPEUTICAS SUBCONJUNTIVALES	 $  12.101 
020304	INYECCION DE SUSTANCIAS ANTIANGIOGÉNICAS EN CAMARA POSTERIOR	 $  36.987 
020305	SUTURA DE CONJUNTIVA	 $  23.973 
020403	SUTURA DE CORNEA	 $  63.190 
020404	QUERATOCENTESIS/CAUTERIZACION CORNEAL	 $  63.190 
020406	SUTURA DE HERIDA DE CORNEA PROLAPSO DE IRIS Y-O HERIDA CRISTALINO EXTRACC CUERPO EXTRANO CAMARA ANT	 $  95.409 
